No,Name,State,Code,Lat,Lon
358,Kolej Vokasional Tawau,Sabah,,,
359,Kolej Vokasional Wakaf Tembesu,Terengganu,,,
360,Langkawi Tourism Academy@Kolej Komuniti Langkawi,Kedah,,,
361,Co-Operative College of Malaysia (Previously known as : Maktab Kerjasama Malaysia),Selangor,10,3.097691674,101.6471831
362,MARA-Japan Industrial Institute (MJII) (Previously known as : Kolej Kemahiran Tinggi MARA Beranang),Selangor,10,2.904662916,101.8645959
363,Advanced Technology Training Center (ADTEC) Batu Pahat,Johor,,,
364,Pusat Latihan Teknologi Tinggi (ADTEC) Bintulu,Sarawak,,,
365,Pusat Latihan Teknologi Tinggi (ADTEC) Jerantut,Pahang,,,
366,Advanced Technology Training Centre (ADTEC) Kemaman,Terengganu,,,
367,Advanced Technology Training Centre (ADTEC) Kulim,Kedah,,,
368,Pusat Latihan Teknologi Tinggi (ADTEC) Melaka,Malacca,,,
369,Advanced Technology Training Center (ADTEC) Shah Alam,Selangor,10,3.011235848,101.5101842
370,Advanced Technology Training Centre (ADTEC) Taiping,Perak,,,
